2024-11-29 01:22:34,934 - INFO - CPU Usage: 0.0% | Memory Usage: 45.8% | Disk Usage: 16.6% | Bytes Sent: 30382210 | Bytes Received: 2984631939
2024-11-29 01:22:36,942 - INFO - CPU Usage: 0.0% | Memory Usage: 45.8% | Disk Usage: 16.6% | Bytes Sent: 30382210 | Bytes Received: 2984632003
2024-11-29 01:22:38,949 - INFO - CPU Usage: 12.4% | Memory Usage: 45.8% | Disk Usage: 16.6% | Bytes Sent: 30390265 | Bytes Received: 2984647757
2024-11-29 01:22:40,955 - INFO - CPU Usage: 0.0% | Memory Usage: 45.8% | Disk Usage: 16.6% | Bytes Sent: 30390320 | Bytes Received: 2984650072
2024-11-29 01:22:42,962 - INFO - CPU Usage: 0.0% | Memory Usage: 45.8% | Disk Usage: 16.6% | Bytes Sent: 30390416 | Bytes Received: 2984651668
2024-11-29 01:22:44,969 - INFO - CPU Usage: 0.0% | Memory Usage: 45.8% | Disk Usage: 16.6% | Bytes Sent: 30390471 | Bytes Received: 2984652013
2024-11-29 01:22:46,975 - INFO - CPU Usage: 0.0% | Memory Usage: 45.8% | Disk Usage: 16.6% | Bytes Sent: 30390526 | Bytes Received: 2984663068
2024-11-29 01:22:48,983 - INFO - CPU Usage: 0.0% | Memory Usage: 45.8% | Disk Usage: 16.6% | Bytes Sent: 30390526 | Bytes Received: 2984663379
2024-11-29 01:22:50,989 - INFO - CPU Usage: 0.0% | Memory Usage: 45.8% | Disk Usage: 16.6% | Bytes Sent: 30390689 | Bytes Received: 2984663599
2024-11-29 01:22:52,996 - INFO - CPU Usage: 0.0% | Memory Usage: 45.8% | Disk Usage: 16.6% | Bytes Sent: 30391437 | Bytes Received: 2984664749
2024-11-29 01:22:55,003 - INFO - CPU Usage: 0.0% | Memory Usage: 45.8% | Disk Usage: 16.6% | Bytes Sent: 30391437 | Bytes Received: 2984666182
2024-11-29 01:22:57,009 - INFO - CPU Usage: 0.0% | Memory Usage: 45.8% | Disk Usage: 16.6% | Bytes Sent: 30391492 | Bytes Received: 2984667443
2024-11-29 01:22:59,016 - INFO - CPU Usage: 0.0% | Memory Usage: 45.8% | Disk Usage: 16.6% | Bytes Sent: 30391546 | Bytes Received: 2984671707
2024-11-29 01:23:01,022 - INFO - CPU Usage: 0.0% | Memory Usage: 45.8% | Disk Usage: 16.6% | Bytes Sent: 30391546 | Bytes Received: 2984671771
2024-11-29 01:23:03,029 - INFO - CPU Usage: 0.0% | Memory Usage: 45.8% | Disk Usage: 16.6% | Bytes Sent: 30391546 | Bytes Received: 2984672044
2024-11-29 01:23:05,035 - INFO - CPU Usage: 0.0% | Memory Usage: 45.8% | Disk Usage: 16.6% | Bytes Sent: 30391600 | Bytes Received: 2984672314
2024-11-29 01:23:07,042 - INFO - CPU Usage: 0.0% | Memory Usage: 45.8% | Disk Usage: 16.6% | Bytes Sent: 30394940 | Bytes Received: 2984678215
2024-11-29 01:23:09,049 - INFO - CPU Usage: 4.7% | Memory Usage: 45.8% | Disk Usage: 16.6% | Bytes Sent: 30394940 | Bytes Received: 2984678485
2024-11-29 01:23:11,056 - INFO - CPU Usage: 0.0% | Memory Usage: 45.9% | Disk Usage: 16.6% | Bytes Sent: 30395036 | Bytes Received: 2984680636
2024-11-29 01:23:13,078 - INFO - CPU Usage: 0.8% | Memory Usage: 45.8% | Disk Usage: 16.6% | Bytes Sent: 30395036 | Bytes Received: 2984682246
2024-11-29 01:23:15,084 - INFO - CPU Usage: 0.0% | Memory Usage: 45.8% | Disk Usage: 16.6% | Bytes Sent: 30395036 | Bytes Received: 2984682800
2024-11-29 01:23:17,091 - INFO - CPU Usage: 0.0% | Memory Usage: 45.8% | Disk Usage: 16.6% | Bytes Sent: 30395036 | Bytes Received: 2984683293
2024-11-29 01:23:19,099 - INFO - CPU Usage: 0.0% | Memory Usage: 45.8% | Disk Usage: 16.6% | Bytes Sent: 30395036 | Bytes Received: 2984683482
2024-11-29 01:23:21,105 - INFO - CPU Usage: 0.0% | Memory Usage: 45.8% | Disk Usage: 16.6% | Bytes Sent: 30395036 | Bytes Received: 2984683911
2024-11-29 01:23:23,112 - INFO - CPU Usage: 0.0% | Memory Usage: 45.8% | Disk Usage: 16.6% | Bytes Sent: 30395036 | Bytes Received: 2984684120
2024-11-29 01:23:25,118 - INFO - CPU Usage: 0.0% | Memory Usage: 45.8% | Disk Usage: 16.6% | Bytes Sent: 30395090 | Bytes Received: 2984684309
2024-11-29 01:23:27,125 - INFO - CPU Usage: 0.0% | Memory Usage: 45.8% | Disk Usage: 16.6% | Bytes Sent: 30395090 | Bytes Received: 2984684454
2024-11-29 01:23:29,132 - INFO - CPU Usage: 0.0% | Memory Usage: 45.8% | Disk Usage: 16.6% | Bytes Sent: 30395090 | Bytes Received: 2984685008
2024-11-29 01:23:31,138 - INFO - CPU Usage: 0.0% | Memory Usage: 45.8% | Disk Usage: 16.6% | Bytes Sent: 30395144 | Bytes Received: 2984685072
2024-11-29 01:23:33,160 - INFO - CPU Usage: 0.0% | Memory Usage: 45.8% | Disk Usage: 16.6% | Bytes Sent: 30395198 | Bytes Received: 2984685217
2024-11-29 01:23:35,166 - INFO - CPU Usage: 0.0% | Memory Usage: 45.8% | Disk Usage: 16.6% | Bytes Sent: 30395198 | Bytes Received: 2984685487
2024-11-29 01:23:37,173 - INFO - CPU Usage: 0.0% | Memory Usage: 45.8% | Disk Usage: 16.6% | Bytes Sent: 30395198 | Bytes Received: 2984685632
2024-11-29 01:23:39,179 - INFO - CPU Usage: 0.0% | Memory Usage: 45.7% | Disk Usage: 16.6% | Bytes Sent: 30395253 | Bytes Received: 2984685891
2024-11-29 01:23:41,186 - INFO - CPU Usage: 0.0% | Memory Usage: 45.7% | Disk Usage: 16.6% | Bytes Sent: 30395253 | Bytes Received: 2984686122
2024-11-29 01:23:43,192 - INFO - CPU Usage: 0.0% | Memory Usage: 45.7% | Disk Usage: 16.6% | Bytes Sent: 30395315 | Bytes Received: 2984686395
2024-11-29 01:23:45,199 - INFO - CPU Usage: 0.0% | Memory Usage: 45.7% | Disk Usage: 16.6% | Bytes Sent: 30395315 | Bytes Received: 2984686943
2024-11-29 01:23:47,206 - INFO - CPU Usage: 0.0% | Memory Usage: 45.7% | Disk Usage: 16.6% | Bytes Sent: 30395315 | Bytes Received: 2984697998
2024-11-29 01:23:49,213 - INFO - CPU Usage: 0.8% | Memory Usage: 45.6% | Disk Usage: 16.6% | Bytes Sent: 30395315 | Bytes Received: 2984698390
