2024-11-29 15:32:06,761 - INFO - CPU Usage: 21.2% | Memory Usage: 47.3% | Disk Usage: 18.0% | Bytes Sent: 40224417 | Bytes Received: 3252383610
2024-11-29 15:32:07,773 - INFO - CPU Usage: 23.1% | Memory Usage: 47.3% | Disk Usage: 18.0% | Bytes Sent: 40224417 | Bytes Received: 3252383691
2024-11-29 15:32:08,778 - INFO - CPU Usage: 28.5% | Memory Usage: 47.3% | Disk Usage: 18.0% | Bytes Sent: 40224471 | Bytes Received: 3252383755
2024-11-29 15:32:09,785 - INFO - CPU Usage: 0.8% | Memory Usage: 47.3% | Disk Usage: 18.0% | Bytes Sent: 40224580 | Bytes Received: 3252383950
2024-11-29 15:32:10,791 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224580 | Bytes Received: 3252384095
2024-11-29 15:32:11,796 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224580 | Bytes Received: 3252384159
2024-11-29 15:32:12,802 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224580 | Bytes Received: 3252385465
2024-11-29 15:32:13,807 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224580 | Bytes Received: 3252387140
2024-11-29 15:32:14,813 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224580 | Bytes Received: 3252389005
2024-11-29 15:32:15,818 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224580 | Bytes Received: 3252393111
2024-11-29 15:32:16,824 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224580 | Bytes Received: 3252396768
2024-11-29 15:32:17,829 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224580 | Bytes Received: 3252397092
2024-11-29 15:32:18,834 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224580 | Bytes Received: 3252397366
2024-11-29 15:32:19,840 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224580 | Bytes Received: 3252397782
2024-11-29 15:32:20,845 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224580 | Bytes Received: 3252398170
2024-11-29 15:32:21,851 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224580 | Bytes Received: 3252398170
2024-11-29 15:32:22,856 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224580 | Bytes Received: 3252398525
2024-11-29 15:32:23,862 - INFO - CPU Usage: 3.1% | Memory Usage: 47.1% | Disk Usage: 18.0% | Bytes Sent: 40224580 | Bytes Received: 3252398589
2024-11-29 15:32:24,867 - INFO - CPU Usage: 0.8% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224580 | Bytes Received: 3252398778
2024-11-29 15:32:25,877 - INFO - CPU Usage: 2.3% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224580 | Bytes Received: 3252398859
2024-11-29 15:32:26,882 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224650 | Bytes Received: 3252398923
2024-11-29 15:32:27,887 - INFO - CPU Usage: 0.8% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224650 | Bytes Received: 3252398923
2024-11-29 15:32:28,893 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224650 | Bytes Received: 3252399068
2024-11-29 15:32:29,898 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224650 | Bytes Received: 3252399571
2024-11-29 15:32:30,903 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224650 | Bytes Received: 3252399635
2024-11-29 15:32:31,909 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224650 | Bytes Received: 3252399966
2024-11-29 15:32:32,914 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224650 | Bytes Received: 3252400094
2024-11-29 15:32:33,920 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224650 | Bytes Received: 3252400094
2024-11-29 15:32:34,926 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224650 | Bytes Received: 3252400364
2024-11-29 15:32:35,931 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224650 | Bytes Received: 3252400364
2024-11-29 15:32:36,937 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224650 | Bytes Received: 3252400428
2024-11-29 15:32:37,942 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224650 | Bytes Received: 3252400509
2024-11-29 15:32:38,948 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224650 | Bytes Received: 3252400573
2024-11-29 15:32:39,953 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224650 | Bytes Received: 3252400698
2024-11-29 15:32:40,958 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224650 | Bytes Received: 3252400929
2024-11-29 15:32:41,964 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224650 | Bytes Received: 3252400929
2024-11-29 15:32:42,969 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224650 | Bytes Received: 3252400993
2024-11-29 15:32:43,975 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224650 | Bytes Received: 3252401138
2024-11-29 15:32:44,980 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224704 | Bytes Received: 3252401327
2024-11-29 15:32:45,985 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224704 | Bytes Received: 3252401402
2024-11-29 15:32:46,990 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224758 | Bytes Received: 3252401633
2024-11-29 15:32:47,996 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224812 | Bytes Received: 3252401633
2024-11-29 15:32:49,001 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224812 | Bytes Received: 3252401697
2024-11-29 15:32:50,007 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40224812 | Bytes Received: 3252412663
2024-11-29 15:32:51,012 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40225070 | Bytes Received: 3252412727
2024-11-29 15:32:52,017 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40225070 | Bytes Received: 3252412802
2024-11-29 15:32:53,023 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40225070 | Bytes Received: 3252412947
2024-11-29 15:32:54,028 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40225070 | Bytes Received: 3252413011
2024-11-29 15:32:55,034 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40225070 | Bytes Received: 3252413200
2024-11-29 15:32:56,039 - INFO - CPU Usage: 1.6% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40225070 | Bytes Received: 3252413281
2024-11-29 15:32:57,044 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40227239 | Bytes Received: 3252421632
2024-11-29 15:32:58,049 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40227239 | Bytes Received: 3252421632
2024-11-29 15:32:59,055 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40227239 | Bytes Received: 3252421777
2024-11-29 15:33:00,060 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40227239 | Bytes Received: 3252421902
2024-11-29 15:33:01,065 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40227239 | Bytes Received: 3252421966
2024-11-29 15:33:02,070 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40227281 | Bytes Received: 3252422239
