2024-11-29 14:43:30,203 - INFO - CPU Usage: 32.1% | Memory Usage: 46.7% | Disk Usage: 18.0% | Bytes Sent: 40077392 | Bytes Received: 3250920255
2024-11-29 14:43:31,212 - INFO - CPU Usage: 12.8% | Memory Usage: 46.7% | Disk Usage: 18.0% | Bytes Sent: 40077392 | Bytes Received: 3250921637
2024-11-29 14:43:32,217 - INFO - CPU Usage: 15.6% | Memory Usage: 46.7% | Disk Usage: 18.0% | Bytes Sent: 40077392 | Bytes Received: 3250921701
2024-11-29 14:43:33,239 - INFO - CPU Usage: 28.5% | Memory Usage: 46.8% | Disk Usage: 18.0% | Bytes Sent: 40077392 | Bytes Received: 3250921907
2024-11-29 14:43:34,257 - INFO - CPU Usage: 22.3% | Memory Usage: 46.9% | Disk Usage: 18.0% | Bytes Sent: 40077392 | Bytes Received: 3250921971
2024-11-29 14:43:35,262 - INFO - CPU Usage: 8.3% | Memory Usage: 46.9% | Disk Usage: 18.0% | Bytes Sent: 40077392 | Bytes Received: 3250921971
2024-11-29 14:43:36,274 - INFO - CPU Usage: 22.7% | Memory Usage: 47.0% | Disk Usage: 18.0% | Bytes Sent: 40077446 | Bytes Received: 3250922116
2024-11-29 14:43:37,281 - INFO - CPU Usage: 35.7% | Memory Usage: 47.0% | Disk Usage: 18.0% | Bytes Sent: 40084848 | Bytes Received: 3250928932
2024-11-29 14:43:38,287 - INFO - CPU Usage: 0.0% | Memory Usage: 47.0% | Disk Usage: 18.0% | Bytes Sent: 40084848 | Bytes Received: 3250929121
2024-11-29 14:43:39,292 - INFO - CPU Usage: 0.0% | Memory Usage: 47.0% | Disk Usage: 18.0% | Bytes Sent: 40084848 | Bytes Received: 3250929202
2024-11-29 14:43:40,298 - INFO - CPU Usage: 0.0% | Memory Usage: 47.0% | Disk Usage: 18.0% | Bytes Sent: 40084848 | Bytes Received: 3250929266
2024-11-29 14:43:41,304 - INFO - CPU Usage: 0.0% | Memory Usage: 47.0% | Disk Usage: 18.0% | Bytes Sent: 40084848 | Bytes Received: 3250929266
2024-11-29 14:43:42,310 - INFO - CPU Usage: 0.0% | Memory Usage: 47.0% | Disk Usage: 18.0% | Bytes Sent: 40084890 | Bytes Received: 3250929539
2024-11-29 14:43:43,316 - INFO - CPU Usage: 0.0% | Memory Usage: 47.0% | Disk Usage: 18.0% | Bytes Sent: 40084890 | Bytes Received: 3250929750
2024-11-29 14:43:44,321 - INFO - CPU Usage: 0.0% | Memory Usage: 46.9% | Disk Usage: 18.0% | Bytes Sent: 40084890 | Bytes Received: 3250929814
2024-11-29 14:43:45,326 - INFO - CPU Usage: 0.0% | Memory Usage: 47.0% | Disk Usage: 18.0% | Bytes Sent: 40084890 | Bytes Received: 3250929895
2024-11-29 14:43:46,332 - INFO - CPU Usage: 0.0% | Memory Usage: 47.0% | Disk Usage: 18.0% | Bytes Sent: 40084890 | Bytes Received: 3250930023
2024-11-29 14:43:47,337 - INFO - CPU Usage: 0.0% | Memory Usage: 47.0% | Disk Usage: 18.0% | Bytes Sent: 40084890 | Bytes Received: 3250930023
2024-11-29 14:43:48,343 - INFO - CPU Usage: 0.0% | Memory Usage: 47.0% | Disk Usage: 18.0% | Bytes Sent: 40084890 | Bytes Received: 3250930368
2024-11-29 14:43:49,348 - INFO - CPU Usage: 0.0% | Memory Usage: 47.0% | Disk Usage: 18.0% | Bytes Sent: 40084890 | Bytes Received: 3250930368
2024-11-29 14:43:50,354 - INFO - CPU Usage: 0.0% | Memory Usage: 47.0% | Disk Usage: 18.0% | Bytes Sent: 40084998 | Bytes Received: 3250930518
2024-11-29 14:43:51,360 - INFO - CPU Usage: 0.0% | Memory Usage: 47.0% | Disk Usage: 18.0% | Bytes Sent: 40085052 | Bytes Received: 3250930599
2024-11-29 14:43:52,365 - INFO - CPU Usage: 0.0% | Memory Usage: 47.0% | Disk Usage: 18.0% | Bytes Sent: 40085052 | Bytes Received: 3250941548
2024-11-29 14:43:53,371 - INFO - CPU Usage: 0.0% | Memory Usage: 47.0% | Disk Usage: 18.0% | Bytes Sent: 40085052 | Bytes Received: 3250941548
2024-11-29 14:43:54,377 - INFO - CPU Usage: 0.0% | Memory Usage: 47.0% | Disk Usage: 18.0% | Bytes Sent: 40085052 | Bytes Received: 3250941693
2024-11-29 14:43:55,382 - INFO - CPU Usage: 0.0% | Memory Usage: 47.0% | Disk Usage: 18.0% | Bytes Sent: 40085052 | Bytes Received: 3250941768
2024-11-29 14:43:56,388 - INFO - CPU Usage: 0.0% | Memory Usage: 47.0% | Disk Usage: 18.0% | Bytes Sent: 40085052 | Bytes Received: 3250941832
2024-11-29 14:43:57,393 - INFO - CPU Usage: 0.0% | Memory Usage: 47.0% | Disk Usage: 18.0% | Bytes Sent: 40085052 | Bytes Received: 3250942102
