2024-11-29 15:12:17,248 - INFO - CPU Usage: 38.4% | Memory Usage: 47.0% | Disk Usage: 18.0% | Bytes Sent: 40182259 | Bytes Received: 3251790934
2024-11-29 15:12:18,254 - INFO - CPU Usage: 15.2% | Memory Usage: 47.0% | Disk Usage: 18.0% | Bytes Sent: 40182259 | Bytes Received: 3251790998
2024-11-29 15:12:19,260 - INFO - CPU Usage: 22.5% | Memory Usage: 47.0% | Disk Usage: 18.0% | Bytes Sent: 40182259 | Bytes Received: 3251790998
2024-11-29 15:12:20,269 - INFO - CPU Usage: 19.1% | Memory Usage: 47.1% | Disk Usage: 18.0% | Bytes Sent: 40182259 | Bytes Received: 3251791268
2024-11-29 15:12:21,275 - INFO - CPU Usage: 38.2% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40182259 | Bytes Received: 3251791268
2024-11-29 15:12:22,286 - INFO - CPU Usage: 34.6% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40182259 | Bytes Received: 3251791332
2024-11-29 15:12:23,292 - INFO - CPU Usage: 14.6% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40182325 | Bytes Received: 3251791477
2024-11-29 15:12:24,298 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40182391 | Bytes Received: 3251791541
2024-11-29 15:12:25,304 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40182391 | Bytes Received: 3251791666
2024-11-29 15:12:26,309 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40182457 | Bytes Received: 3251791811
2024-11-29 15:12:27,314 - INFO - CPU Usage: 6.1% | Memory Usage: 47.1% | Disk Usage: 18.0% | Bytes Sent: 40182457 | Bytes Received: 3251791933
2024-11-29 15:12:28,321 - INFO - CPU Usage: 10.2% | Memory Usage: 47.1% | Disk Usage: 18.0% | Bytes Sent: 40182553 | Bytes Received: 3251792061
2024-11-29 15:12:29,342 - INFO - CPU Usage: 30.8% | Memory Usage: 47.1% | Disk Usage: 18.0% | Bytes Sent: 40182553 | Bytes Received: 3251792206
2024-11-29 15:12:30,352 - INFO - CPU Usage: 23.3% | Memory Usage: 47.1% | Disk Usage: 18.0% | Bytes Sent: 40182619 | Bytes Received: 3251792459
2024-11-29 15:12:31,358 - INFO - CPU Usage: 15.4% | Memory Usage: 47.3% | Disk Usage: 18.0% | Bytes Sent: 40182727 | Bytes Received: 3251792459
2024-11-29 15:12:32,364 - INFO - CPU Usage: 0.0% | Memory Usage: 47.3% | Disk Usage: 18.0% | Bytes Sent: 40182727 | Bytes Received: 3251792604
2024-11-29 15:12:33,369 - INFO - CPU Usage: 0.0% | Memory Usage: 47.3% | Disk Usage: 18.0% | Bytes Sent: 40182727 | Bytes Received: 3251792604
2024-11-29 15:12:34,374 - INFO - CPU Usage: 22.3% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40182727 | Bytes Received: 3251792793
2024-11-29 15:12:35,385 - INFO - CPU Usage: 3.1% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40182727 | Bytes Received: 3251792938
2024-11-29 15:12:36,390 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40182727 | Bytes Received: 3251793002
2024-11-29 15:12:37,396 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40182727 | Bytes Received: 3251794244
2024-11-29 15:12:38,402 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40182793 | Bytes Received: 3251794389
2024-11-29 15:12:39,407 - INFO - CPU Usage: 0.0% | Memory Usage: 47.2% | Disk Usage: 18.0% | Bytes Sent: 40182793 | Bytes Received: 3251796540
