2024-11-29 19:50:35,211 - INFO - CPU Usage: 55.4% | Memory Usage: 56.4% | Disk Usage: 19.1% | Bytes Sent: 4286283 | Bytes Received: 29804693
2024-11-29 19:50:36,223 - INFO - CPU Usage: 18.5% | Memory Usage: 56.4% | Disk Usage: 19.1% | Bytes Sent: 4286349 | Bytes Received: 29806439
2024-11-29 19:50:37,229 - INFO - CPU Usage: 6.2% | Memory Usage: 56.4% | Disk Usage: 19.1% | Bytes Sent: 4286851 | Bytes Received: 29809390
2024-11-29 19:50:38,236 - INFO - CPU Usage: 3.9% | Memory Usage: 56.4% | Disk Usage: 19.1% | Bytes Sent: 4287005 | Bytes Received: 29812078
2024-11-29 19:50:39,242 - INFO - CPU Usage: 3.8% | Memory Usage: 56.4% | Disk Usage: 19.1% | Bytes Sent: 4287071 | Bytes Received: 29812142
2024-11-29 19:50:40,248 - INFO - CPU Usage: 5.4% | Memory Usage: 56.4% | Disk Usage: 19.1% | Bytes Sent: 4287071 | Bytes Received: 29814840
2024-11-29 19:50:41,254 - INFO - CPU Usage: 14.9% | Memory Usage: 56.4% | Disk Usage: 19.1% | Bytes Sent: 4287071 | Bytes Received: 29814904
2024-11-29 19:50:42,266 - INFO - CPU Usage: 23.5% | Memory Usage: 56.3% | Disk Usage: 19.1% | Bytes Sent: 4287615 | Bytes Received: 29815629
2024-11-29 19:50:43,600 - INFO - CPU Usage: 87.8% | Memory Usage: 56.6% | Disk Usage: 19.1% | Bytes Sent: 4287723 | Bytes Received: 29818244
2024-11-29 19:50:44,969 - INFO - CPU Usage: 100.0% | Memory Usage: 56.5% | Disk Usage: 19.1% | Bytes Sent: 4287931 | Bytes Received: 29818854
2024-11-29 19:50:46,000 - INFO - CPU Usage: 49.3% | Memory Usage: 56.5% | Disk Usage: 19.1% | Bytes Sent: 4287931 | Bytes Received: 29818935
2024-11-29 19:50:47,003 - INFO - CPU Usage: 67.6% | Memory Usage: 57.1% | Disk Usage: 19.1% | Bytes Sent: 4288421 | Bytes Received: 29819485
2024-11-29 19:50:48,010 - INFO - CPU Usage: 49.6% | Memory Usage: 56.7% | Disk Usage: 19.1% | Bytes Sent: 4288487 | Bytes Received: 29819485
2024-11-29 19:50:49,024 - INFO - CPU Usage: 28.1% | Memory Usage: 56.7% | Disk Usage: 19.1% | Bytes Sent: 4288553 | Bytes Received: 29819630
2024-11-29 19:50:50,032 - INFO - CPU Usage: 29.5% | Memory Usage: 56.8% | Disk Usage: 19.1% | Bytes Sent: 4288553 | Bytes Received: 29819755
2024-11-29 19:50:51,058 - INFO - CPU Usage: 42.6% | Memory Usage: 57.0% | Disk Usage: 19.1% | Bytes Sent: 4288685 | Bytes Received: 29819819
2024-11-29 19:50:52,061 - INFO - CPU Usage: 27.9% | Memory Usage: 56.7% | Disk Usage: 19.1% | Bytes Sent: 4289395 | Bytes Received: 29823127
2024-11-29 19:50:53,068 - INFO - CPU Usage: 10.0% | Memory Usage: 56.6% | Disk Usage: 19.1% | Bytes Sent: 4289461 | Bytes Received: 29823191
2024-11-29 19:50:54,075 - INFO - CPU Usage: 53.1% | Memory Usage: 56.6% | Disk Usage: 19.1% | Bytes Sent: 4289461 | Bytes Received: 29823255
2024-11-29 19:50:55,081 - INFO - CPU Usage: 52.3% | Memory Usage: 56.6% | Disk Usage: 19.1% | Bytes Sent: 4289648 | Bytes Received: 29834419
2024-11-29 19:50:56,087 - INFO - CPU Usage: 51.5% | Memory Usage: 56.5% | Disk Usage: 19.1% | Bytes Sent: 4289703 | Bytes Received: 29834489
2024-11-29 19:50:57,108 - INFO - CPU Usage: 83.0% | Memory Usage: 56.9% | Disk Usage: 19.1% | Bytes Sent: 4290139 | Bytes Received: 29834953
2024-11-29 19:50:58,114 - INFO - CPU Usage: 93.6% | Memory Usage: 57.1% | Disk Usage: 19.1% | Bytes Sent: 4290139 | Bytes Received: 29835034
2024-11-29 19:50:59,688 - INFO - CPU Usage: 99.4% | Memory Usage: 57.2% | Disk Usage: 19.1% | Bytes Sent: 4290513 | Bytes Received: 29835569
2024-11-29 19:51:00,824 - INFO - CPU Usage: 100.0% | Memory Usage: 57.3% | Disk Usage: 19.1% | Bytes Sent: 4292671 | Bytes Received: 29839703
2024-11-29 19:51:01,847 - INFO - CPU Usage: 100.0% | Memory Usage: 57.2% | Disk Usage: 19.1% | Bytes Sent: 4292889 | Bytes Received: 29839935
2024-11-29 19:51:02,859 - INFO - CPU Usage: 99.3% | Memory Usage: 57.1% | Disk Usage: 19.1% | Bytes Sent: 4293107 | Bytes Received: 29840167
2024-11-29 19:51:03,866 - INFO - CPU Usage: 100.0% | Memory Usage: 57.3% | Disk Usage: 19.1% | Bytes Sent: 4293173 | Bytes Received: 29840248
2024-11-29 19:51:04,895 - INFO - CPU Usage: 100.0% | Memory Usage: 57.1% | Disk Usage: 19.1% | Bytes Sent: 4293173 | Bytes Received: 29840501
2024-11-29 19:51:05,969 - INFO - CPU Usage: 100.0% | Memory Usage: 57.1% | Disk Usage: 19.1% | Bytes Sent: 4293173 | Bytes Received: 29842095
2024-11-29 19:51:07,276 - INFO - CPU Usage: 100.0% | Memory Usage: 57.5% | Disk Usage: 19.1% | Bytes Sent: 4293906 | Bytes Received: 29842922
2024-11-29 19:51:08,301 - INFO - CPU Usage: 100.0% | Memory Usage: 57.2% | Disk Usage: 19.1% | Bytes Sent: 4293906 | Bytes Received: 29847980
2024-11-29 19:51:09,328 - INFO - CPU Usage: 100.0% | Memory Usage: 57.1% | Disk Usage: 19.1% | Bytes Sent: 4294015 | Bytes Received: 29849432
2024-11-29 19:51:10,374 - INFO - CPU Usage: 100.0% | Memory Usage: 57.6% | Disk Usage: 19.1% | Bytes Sent: 4294152 | Bytes Received: 29849785
2024-11-29 19:51:11,427 - INFO - CPU Usage: 100.0% | Memory Usage: 57.1% | Disk Usage: 19.1% | Bytes Sent: 4294152 | Bytes Received: 29849849
2024-11-29 19:51:12,592 - INFO - CPU Usage: 100.0% | Memory Usage: 57.4% | Disk Usage: 19.1% | Bytes Sent: 4294697 | Bytes Received: 29850539
2024-11-29 19:51:14,948 - INFO - CPU Usage: 100.0% | Memory Usage: 57.6% | Disk Usage: 19.1% | Bytes Sent: 4294851 | Bytes Received: 29851595
2024-11-29 19:51:16,030 - INFO - CPU Usage: 100.0% | Memory Usage: 58.3% | Disk Usage: 19.1% | Bytes Sent: 4294851 | Bytes Received: 29851896
2024-11-29 19:51:17,106 - INFO - CPU Usage: 100.0% | Memory Usage: 58.5% | Disk Usage: 19.1% | Bytes Sent: 4295287 | Bytes Received: 29852360
2024-11-29 19:51:18,380 - INFO - CPU Usage: 100.0% | Memory Usage: 58.3% | Disk Usage: 19.1% | Bytes Sent: 4295287 | Bytes Received: 29852360
2024-11-29 19:51:19,617 - INFO - CPU Usage: 100.0% | Memory Usage: 58.1% | Disk Usage: 19.1% | Bytes Sent: 4295287 | Bytes Received: 29852630
2024-11-29 19:51:20,883 - INFO - CPU Usage: 100.0% | Memory Usage: 58.3% | Disk Usage: 19.1% | Bytes Sent: 4295518 | Bytes Received: 29852976
2024-11-29 19:51:21,961 - INFO - CPU Usage: 100.0% | Memory Usage: 58.5% | Disk Usage: 19.1% | Bytes Sent: 4295900 | Bytes Received: 29857641
2024-11-29 19:51:23,358 - INFO - CPU Usage: 100.0% | Memory Usage: 58.1% | Disk Usage: 19.1% | Bytes Sent: 4295954 | Bytes Received: 29857705
2024-11-29 19:51:24,533 - INFO - CPU Usage: 100.0% | Memory Usage: 58.3% | Disk Usage: 19.1% | Bytes Sent: 4296008 | Bytes Received: 29859874
2024-11-29 19:51:25,572 - INFO - CPU Usage: 98.6% | Memory Usage: 58.4% | Disk Usage: 19.1% | Bytes Sent: 4296008 | Bytes Received: 29861279
2024-11-29 19:51:26,837 - INFO - CPU Usage: 100.0% | Memory Usage: 57.6% | Disk Usage: 19.1% | Bytes Sent: 4296214 | Bytes Received: 29862113
2024-11-29 19:51:28,031 - INFO - CPU Usage: 100.0% | Memory Usage: 57.9% | Disk Usage: 19.1% | Bytes Sent: 4296694 | Bytes Received: 29864828
2024-11-29 19:51:29,592 - INFO - CPU Usage: 100.0% | Memory Usage: 58.5% | Disk Usage: 19.1% | Bytes Sent: 4296936 | Bytes Received: 29865402
2024-11-29 19:51:30,671 - INFO - CPU Usage: 100.0% | Memory Usage: 57.5% | Disk Usage: 19.1% | Bytes Sent: 4296990 | Bytes Received: 29865402
2024-11-29 19:51:32,152 - INFO - CPU Usage: 100.0% | Memory Usage: 58.0% | Disk Usage: 19.1% | Bytes Sent: 4297426 | Bytes Received: 29866671
2024-11-29 19:51:33,484 - INFO - CPU Usage: 100.0% | Memory Usage: 58.3% | Disk Usage: 19.1% | Bytes Sent: 4297426 | Bytes Received: 29867037
2024-11-29 19:51:34,573 - INFO - CPU Usage: 100.0% | Memory Usage: 58.3% | Disk Usage: 19.1% | Bytes Sent: 4297426 | Bytes Received: 29867333
2024-11-29 19:51:35,713 - INFO - CPU Usage: 100.0% | Memory Usage: 57.9% | Disk Usage: 19.1% | Bytes Sent: 4297580 | Bytes Received: 29867989
2024-11-29 19:51:37,000 - INFO - CPU Usage: 99.4% | Memory Usage: 57.7% | Disk Usage: 19.1% | Bytes Sent: 4297962 | Bytes Received: 29868624
2024-11-29 19:51:38,108 - INFO - CPU Usage: 100.0% | Memory Usage: 58.1% | Disk Usage: 19.1% | Bytes Sent: 4298016 | Bytes Received: 29868624
2024-11-29 19:51:39,127 - INFO - CPU Usage: 100.0% | Memory Usage: 58.4% | Disk Usage: 19.1% | Bytes Sent: 4298016 | Bytes Received: 29868688
2024-11-29 19:51:40,607 - INFO - CPU Usage: 100.0% | Memory Usage: 58.3% | Disk Usage: 19.1% | Bytes Sent: 4298071 | Bytes Received: 29871780
2024-11-29 19:51:41,693 - INFO - CPU Usage: 100.0% | Memory Usage: 58.5% | Disk Usage: 19.1% | Bytes Sent: 4298137 | Bytes Received: 29871844
2024-11-29 19:51:42,757 - INFO - CPU Usage: 100.0% | Memory Usage: 57.7% | Disk Usage: 19.1% | Bytes Sent: 4298947 | Bytes Received: 29872889
2024-11-29 19:51:44,280 - INFO - CPU Usage: 99.3% | Memory Usage: 58.0% | Disk Usage: 19.1% | Bytes Sent: 4299009 | Bytes Received: 29873017
2024-11-29 19:51:45,490 - INFO - CPU Usage: 100.0% | Memory Usage: 58.3% | Disk Usage: 19.1% | Bytes Sent: 4299075 | Bytes Received: 29873281
2024-11-29 19:51:46,650 - INFO - CPU Usage: 99.3% | Memory Usage: 58.5% | Disk Usage: 19.1% | Bytes Sent: 4299129 | Bytes Received: 29873448
2024-11-29 19:51:47,701 - INFO - CPU Usage: 99.3% | Memory Usage: 57.6% | Disk Usage: 19.1% | Bytes Sent: 4299565 | Bytes Received: 29873912
